"wbs";"id";"name";"start";"end";"duration";"effort";"effortdone";"effortleft";"priority";"responsible";"resources";"status";"active_sub_tasks";"open_sub_tasks";"closed_sub_tasks";"complete";"followers";"depends_on";"path_criticalness";"schedule_gauge";"cost"
"4.12.4.1.1";"task5.task1132.task1178.task1179.task1180";"        آهن کشی ودیوارچینی درزژوئن فودکورت بلوک 8";"2017-10-29";"2017-10-29";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"870012000,00"
"4.12.4.2";"task5.task1132.task1178.task1181";"      تاسیسات مکانیکی فاز 1";"2017-07-24";"2018-02-04";195.0;0.0;0.0;0.0;500;"";"";"in progress";11;0;11;"99%";"";"";1.0;"behind schedule";"6826360056,00"
"4.12.4.2.1";"task5.task1132.task1178.task1181.task1182";"        ساخت کانال فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"442769184,00"
"4.12.4.2.2";"task5.task1132.task1178.task1181.task1183";"        ساپورت زنی و شاسی کشی فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"707200780,00"
"4.12.4.2.3";"task5.task1132.task1178.task1181.task1184";"        نصب کانال فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"442769184,00"
"4.12.4.2.4";"task5.task1132.task1178.task1181.task1185";"        عایق کانال فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"700728000,00"
"4.12.4.2.5";"task5.task1132.task1178.task1181.task1186";"        لوله سرد و گرم فن کوئل فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"124924800,00"
"4.12.4.2.6";"task5.task1132.task1178.task1181.task1187";"        لوله سرد و گرم مصرفی فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"31231200,00"
"4.12.4.2.7";"task5.task1132.task1178.task1181.task1188";"        لوله اطفاء حریق فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"553833280,00"
"4.12.4.2.8";"task5.task1132.task1178.task1181.task1189";"        لوله فاضلاب و ونت فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"37923600,00"
"4.12.4.2.9";"task5.task1132.task1178.task1181.task1190";"        لوله آب باران فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"31603000,00"
"4.12.4.2.10";"task5.task1132.task1178.task1181.task1191";"        عایق لوله فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"283534680,00"
"4.12.4.2.11";"task5.task1132.task1178.task1181.task1192";"        تست لوله ها فودکورت بلوک 8";"2018-02-04";"2018-02-04";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"56662320,00"
"4.12.4.3";"task5.task1132.task1178.task1193";"      تاسیسات برقی فاز 1";"2017-10-21";"2018-02-02";104.0;0.0;0.0;0.0;500;"";"";"in progress";5;0;5;"99%";"";"";1.0;"behind schedule";"2546996588,00"
"4.12.4.3.1";"task5.task1132.task1178.task1193.task1194";"        سوراخکاری و شیارزنی فودکورت بلوک 8";"2018-02-02";"2018-02-02";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"3800000,00"
"4.12.4.3.2";"task5.task1132.task1178.task1193.task1195";"        ساپورت زنی فودکورت بلوک 8";"2018-02-02";"2018-02-02";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"99%";"";"";1.0;"behind schedule";"32080000,00"
"4.12.4.3.3";"task5.task1132.task1178.task1193.task1196";"        سینی کابل فودکورت بلوک 8";"2018-02-02";"2018-02-02";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"107327025,00"
"4.12.4.3.4";"task5.task1132.task1178.task1193.task1197";"        لوله گذاری صوت، روشنایی و اعلام حریق فودکورت بلوک 8";"2018-02-02";"2018-02-02";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"387973269,00"
"4.12.4.3.5";"task5.task1132.task1178.task1193.task1198";"        کابل کشی ولتاژ ضعیف فودکورت بلوک 8";"2018-02-02";"2018-02-02";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"742318000,00"
"4.12.4.4";"task5.task1132.task1178.task1199";"      نازک کاری";"2018-02-15";"2018-04-20";64.0;0.0;0.0;0.0;500;"";"";"in progress";3;0;3;"58%";"";"";1.0;"on schedule";"8243564436,00"
"4.12.4.4.1";"task5.task1132.task1178.task1199.task1200";"        زیرسازی سقف کاذب فودکورت بلوک 8";"2018-04-20";"2018-04-20";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1530328800,00"
"4.12.4.4.2";"task5.task1132.task1178.task1199.task1201";"        نصب پنل سقف کاذب فودکورت بلوک 8";"2018-04-20";"2018-04-20";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1427852650,00"
"4.12.4.4.3";"task5.task1132.task1178.task1199.task1202";"        کفسازی فودکورت بلوک 8";"2018-04-20";"2018-04-20";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1163600768,00"
"4.12.4.5";"task5.task1132.task1178.task1203";"      تاسیسات مکانیکی فاز 2";"2018-04-25";"2018-05-11";16.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.5.1";"task5.task1132.task1178.task1203.task1204";"        نصب دمپر و فایر دمپر فودکورت بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.5.2";"task5.task1132.task1178.task1203.task1205";"        نصب جعبه و کپسول آتش نشانی فودکورت بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.5.3";"task5.task1132.task1178.task1203.task1206";"        نصب دریچه هوا فودکورت بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.5.4";"task5.task1132.task1178.task1203.task1207";"        تست تاسیسات مکانیکی  فودکورت بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.6";"task5.task1132.task1178.task1208";"      تاسیسات برقی فاز 2";"2018-04-21";"2018-05-11";20.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.6.1";"task5.task1132.task1178.task1208.task1209";"        نصب تجهیزات صوت فودکورت بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
"4.12.4.6.2";"task5.task1132.task1178.task1208.task1210";"        نصب تجهیزات روشنایی فودکورت بلوک 8";"2018-05-11";"2018-05-11";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;0;"100%";"";"";1.0;"on schedule";"0,00"
